DEPARTAMENTO,PROVINCIA,DISTRITO,ubigeo,Poblacion,IDH2019,Educ_sec_comp2019_pct,NBI2017_pct,Viv_sin_serv_hig2017_pct,queen_interseccion_lisa,queen_interseccion_moran_i,queen_interseccion_p,queen_interseccion_n,rook_frontera_compartida_lisa,rook_frontera_compartida_moran_i,rook_frontera_compartida_p,rook_frontera_compartida_n,knn_4_centroides_lisa,knn_4_centroides_moran_i,knn_4_centroides_p,knn_4_centroides_n,banda_distancia_27_km_lisa,banda_distancia_27_km_moran_i,banda_distancia_27_km_p,banda_distancia_27_km_n
Lima,BARRANCA,SUPE,PE150204,23345,0.6308271130775358,65.83291929627318,28.6,9.1,3 no_pattern,-0.0054720270407951025,0.856,5,3 no_pattern,-0.0054720270407951025,0.89,5,3 no_pattern,0.0237685748702215,0.608,4,3 no_pattern,0.0255645160114984,0.47,5
Lima,BARRANCA,SUPE PUERTO,PE150205,11898,0.632911211240674,69.32394689793804,26.3,4.4,3 no_pattern,0.08868049495566069,0.726,2,3 no_pattern,0.08868049495566069,0.728,2,3 no_pattern,0.06836086396109611,0.636,4,3 no_pattern,0.06836086396109611,0.702,4
Lima,HUAROCHIRI,SURCO,PE150732,1973,0.5185850254211779,74.83376268121117,35.8,21.8,3 no_pattern,-0.1275000788114995,0.692,5,3 no_pattern,-0.1275000788114995,0.648,5,3 no_pattern,0.1725361586092794,0.596,4,3 no_pattern,-0.09073075882651115,0.586,16
Lima,LIMA,SURQUILLO,PE150141,92908,0.8171136689103559,79.57658595346267,6.4,0.0,2 hotSpot,0.9525859504272098,0.044,4,3 no_pattern,0.9525859504272098,0.052,4,2 hotSpot,0.9525859504272098,0.048,4,2 hotSpot,0.8508594879613792,0.002,31
Lima,YAUYOS,TANTA,PE151028,504,0.3923482612353234,49.43363512351474,24.6,8.7,4 coldSpot,0.7790577974196509,0.028,8,4 coldSpot,0.7790577974196509,0.026,8,3 no_pattern,0.8505855417080089,0.084,4,4 coldSpot,0.8968500470831712,0.002,11
Lima,YAUYOS,TAURIPAMPA,PE151029,405,0.25571528207704036,60.841397075095074,78.4,75.8,3 no_pattern,-0.05474571388959219,0.576,7,3 no_pattern,-0.05474571388959219,0.598,7,3 no_pattern,0.10460592975028102,0.422,4,3 no_pattern,-0.02010896210291657,0.858,6
Lima,YAUYOS,TOMAS,PE151030,1151,0.532312797759408,59.780209916808516,81.0,77.4,3 no_pattern,-0.11139791617452693,0.574,3,3 no_pattern,-0.11139791617452693,0.562,3,3 no_pattern,0.1983055687916169,0.17,4,3 no_pattern,0.19539995355279371,0.182,5
Lima,YAUYOS,TUPE,PE151031,648,0.3281914991594404,21.185843624363457,96.1,88.2,3 no_pattern,2.7468921078824877,0.056,4,4 coldSpot,2.7468921078824877,0.05,4,4 coldSpot,4.534451890809189,0.008,4,4 coldSpot,3.6350359872703444,0.004,8
Lima,HUAURA,VEGUETA,PE150812,23091,0.6058977644686256,65.24867654925505,32.2,8.9,3 no_pattern,0.01117267942847688,0.762,2,3 no_pattern,0.01117267942847688,0.784,2,3 no_pattern,0.016321724991011748,0.528,4,3 no_pattern,0.01893384629334497,0.334,6
Lima,HUARAL,VEINTISIETE DE NOVIEMBRE,PE150612,414,0.46277108348848905,47.224839892871564,46.5,33.3,3 no_pattern,0.2244326534307825,0.632,7,3 no_pattern,0.3086594497599604,0.552,6,3 no_pattern,0.21974660908676955,0.744,4,3 no_pattern,0.10982466051039827,0.724,10
Lima,LIMA,VILLA EL SALVADOR,PE150142,489583,0.6990481232857558,74.3851677794309,15.5,0.4,3 no_pattern,0.4533615847280393,0.16,4,3 no_pattern,0.4533615847280393,0.166,4,3 no_pattern,0.5404721181218951,0.106,4,2 hotSpot,0.5494579281982385,0.002,27
Lima,LIMA,VILLA MARIA DEL TRIUNFO,PE150143,473036,0.689811994580126,73.89553442371854,21.9,1.3,3 no_pattern,0.41499633212357606,0.134,5,3 no_pattern,0.41499633212357606,0.116,5,3 no_pattern,0.5337204016123626,0.08,4,2 hotSpot,0.5186023147942675,0.002,32
Lima,YAUYOS,VINAC,PE151032,1906,0.35346774948026655,48.99616932596151,57.8,45.3,4 coldSpot,0.8330278950667962,0.024,6,3 no_pattern,0.6976451187439463,0.098,5,3 no_pattern,0.6172750198900795,0.26,4,4 coldSpot,1.3827996655669723,0.002,9
Lima,YAUYOS,VITIS,PE151033,665,0.5150709626527227,58.15721779237029,20.1,13.600000000000001,3 no_pattern,0.29099306097428457,0.114,5,3 no_pattern,0.29099306097428457,0.126,5,3 no_pattern,0.39958971584998965,0.062,4,4 coldSpot,0.4570118703313314,0.01,7
Lima,YAUYOS,YAUYOS,PE151001,2905,0.5786459756412531,68.60177935508167,37.3,17.3,1 hotOutlier,-0.2834835895329668,0.028,6,1 hotOutlier,-0.2834835895329668,0.01,6,1 hotOutlier,-0.3558950925919233,0.014,4,1 hotOutlier,-0.29818893345626507,0.004,8
Lima,CANETE,ZUNIGA,PE150516,1912,0.6861333928798342,68.73711182363009,38.2,8.9,3 no_pattern,-0.07058934842625439,0.65,3,3 no_pattern,-0.07058934842625439,0.634,3,3 no_pattern,-0.06842706810378496,0.63,4,3 no_pattern,-0.05889209991383576,0.516,8
